Product type,SKU,Supplier name,Location,Customer demographics,Customer segment,Transportation modes,Routes,Price,Availability,Number of products sold,Revenue generated,Manufacturing costs,Costs,Profit margin,Order quantities,Lead time,Order date,Shipping date,Delivery date,Shipping times,Defect rates,Inspection results,Manufacturing lead time,Production volumes,Stock levels,Transportation costs
Healthcare,SKU0057,Supplier A,Chennai,Unknown,B2C,Air,Route C,11.4,15,6,68.4,6.01,36.06,47.28,299,17,2024-03-10,2024-03-14,2024-03-31,17,0.0181,Fail,17,728,15,190.78
Healthcare,SKU0015,Supplier C,Pune,Non-binary,B2B,Air,Route B,111.0,370,175,19425.0,75.23,13165.25,32.23,131,8,2023-10-18,2023-10-23,2023-10-31,8,0.0971,Fail,9,3142,370,385.28
Cosmetics,SKU0027,Supplier A,Kolkata,Non-binary,B2C,Sea,Route A,51.27,489,102,5229.54,22.86,2331.72,55.41,157,17,2023-11-05,2023-11-07,2023-11-24,17,0.065,Pass,4,230,489,104.26
Healthcare,SKU0023,Supplier D,Pune,Non-binary,B2B,Rail,Route C,105.96,423,182,19284.72,45.15,8217.3,57.39,53,23,2023-05-13,2023-05-17,2023-06-09,23,0.0065,Pass,15,2869,423,405.83
Healthcare,SKU0059,Supplier D,Kolkata,Unknown,D2C,Rail,Route B,80.42,492,107,8604.94,52.12,5576.84,35.19,463,2,2023-03-21,2023-03-24,2023-03-26,2,0.0024,Fail,15,3312,492,50.11
Healthcare,SKU0042,Supplier D,Kolkata,Non-binary,B2B,Rail,Route A,60.67,95,38,2305.46,36.82,1399.16,39.31,367,14,2023-06-25,2023-06-30,2023-07-14,14,0.0351,Fail,18,3611,95,265.94
Beauty,SKU0068,Supplier D,Pune,Non-binary,B2B,Sea,Route A,44.39,376,265,11763.35,22.59,5986.35,49.11,114,25,2023-03-22,2023-03-26,2023-04-20,25,0.0336,Pass,5,3600,376,157.45
Healthcare,SKU0068,Supplier E,Mumbai,Non-binary,D2C,Air,Route A,56.42,157,67,3780.14,17.88,1197.96,68.31,242,18,2024-06-06,2024-06-08,2024-06-26,18,0.0234,Pass,17,2732,157,459.65
Healthcare,SKU0026,Supplier B,Chennai,Male,B2B,Rail,Route B,20.87,376,139,2900.93,12.83,1783.37,38.52,476,27,2023-06-27,2023-07-02,2023-07-29,27,0.095,Pass,9,1563,376,314.85
Cosmetics,SKU0088,Supplier E,Ahmedabad,Unknown,B2B,Rail,Route B,133.21,343,10,1332.1,79.57,795.7,40.27,309,13,2023-11-27,2023-11-30,2023-12-13,13,0.0989,Pass,15,1489,343,154.25
Haircare,SKU0046,Supplier C,Kolkata,Unknown,B2C,Road,Route A,38.45,225,56,2153.2,26.26,1470.56,31.7,425,26,2024-06-03,2024-06-04,2024-06-30,26,0.0037,Pass,7,153,225,207.56
Haircare,SKU0083,Supplier C,Mumbai,Unknown,D2C,Road,Route B,145.52,176,8,1164.16,74.22,593.76,49.0,428,3,2023-04-03,2023-04-08,2023-04-11,3,0.0597,Fail,19,102,176,228.31
Cosmetics,SKU0078,Supplier B,Hyderabad,Male,B2C,Road,Route B,123.3,485,268,33044.4,38.71,10374.28,68.61,117,24,2024-05-02,2024-05-07,2024-05-31,24,0.0748,Pass,4,1390,485,311.04
Healthcare,SKU0006,Supplier E,Bangalore,Female,B2C,Sea,Route B,132.23,322,122,16132.06,42.02,5126.44,68.22,275,28,2023-09-11,2023-09-15,2023-10-13,28,0.0477,Fail,11,4235,322,437.96
Skincare,SKU0087,Supplier D,Hyderabad,Non-binary,B2B,Rail,Route B,140.08,394,225,31518.0,42.31,9519.75,69.8,300,24,2023-02-23,2023-02-26,2023-03-22,24,0.0253,Pass,8,136,394,375.54
Haircare,SKU0043,Supplier E,Bangalore,Non-binary,B2C,Rail,Route A,36.93,460,283,10451.19,11.99,3393.17,67.53,350,5,2023-03-25,2023-03-30,2023-04-04,5,0.0991,Pass,5,1691,460,266.26
Cosmetics,SKU0072,Supplier A,Chennai,Male,D2C,Rail,Route C,101.01,39,26,2626.26,65.8,1710.8,34.86,196,13,2024-01-21,2024-01-24,2024-02-06,13,0.0267,Pass,3,1804,39,440.67
Haircare,SKU0040,Supplier A,Hyderabad,Unknown,B2B,Air,Route A,53.43,44,24,1282.32,29.25,702.0,45.26,471,21,2023-07-04,2023-07-06,2023-07-27,21,0.068,Pass,7,656,44,135.15
Beauty,SKU0013,Supplier A,Chennai,Non-binary,D2C,Air,Route C,131.42,498,30,3942.6,82.53,2475.9,37.2,486,23,2024-06-03,2024-06-08,2024-07-01,23,0.0005,Pass,6,3429,498,384.58
Skincare,SKU0024,Supplier B,Bangalore,Unknown,B2C,Air,Route B,125.66,476,11,1382.26,41.93,461.23,66.63,204,7,2023-06-19,2023-06-23,2023-06-30,7,0.0193,Pass,19,4555,476,491.53
Cosmetics,SKU0030,Supplier C,Ahmedabad,Unknown,B2B,Sea,Route C,42.67,187,87,3712.29,14.63,1272.81,65.71,463,13,2024-06-30,2024-07-02,2024-07-15,13,0.078,Pass,11,1347,187,58.29
Cosmetics,SKU0099,Supplier D,Ahmedabad,Female,B2B,Air,Route B,126.82,411,59,7482.38,43.25,2551.75,65.9,245,15,2023-10-16,2023-10-20,2023-11-04,15,0.0932,Fail,6,1365,411,128.19
Healthcare,SKU0071,Supplier D,Hyderabad,Non-binary,B2B,Air,Route B,142.36,191,16,2277.76,75.86,1213.76,46.71,242,12,2023-04-16,2023-04-21,2023-05-03,12,0.0067,Pass,16,4899,191,76.06
Skincare,SKU0056,Supplier E,Bangalore,Non-binary,B2B,Rail,Route A,103.03,203,163,16793.89,62.16,10132.08,39.67,56,27,2023-04-04,2023-04-06,2023-05-03,27,0.013,Fail,3,4099,203,79.53
Skincare,SKU0031,Supplier E,Hyderabad,Female,B2B,Sea,Route A,116.71,57,22,2567.62,56.89,1251.58,51.26,53,26,2024-01-31,2024-02-01,2024-02-27,26,0.0159,Pass,15,138,57,241.78
Haircare,SKU0005,Supplier B,Bangalore,Unknown,B2C,Road,Route A,81.42,284,156,12701.52,27.11,4229.16,66.7,133,11,2023-10-21,2023-10-25,2023-11-05,11,0.0221,Pass,5,2996,284,344.53
Healthcare,SKU0020,Supplier C,Delhi,Non-binary,B2B,Sea,Route A,144.67,439,91,13164.97,67.69,6159.79,53.21,492,29,2024-06-24,2024-06-28,2024-07-27,29,0.0944,Pass,7,4765,439,484.03
Healthcare,SKU0082,Supplier B,Pune,Unknown,D2C,Road,Route C,134.64,14,1,134.64,87.15,87.15,35.27,329,29,2024-04-13,2024-04-14,2024-05-13,29,0.02,Pass,17,2355,14,215.84
Cosmetics,SKU0092,Supplier E,Delhi,Male,D2C,Sea,Route A,83.77,59,45,3769.65,51.15,2301.75,38.94,128,25,2023-05-28,2023-05-31,2023-06-25,25,0.0869,Fail,9,4544,59,254.16
Cosmetics,SKU0086,Supplier D,Bangalore,Male,D2C,Road,Route B,24.03,180,23,552.69,8.99,206.77,62.59,64,28,2023-03-29,2023-04-03,2023-05-01,28,0.0968,Pass,16,3444,180,266.69
Skincare,SKU0048,Supplier A,Pune,Male,B2C,Air,Route C,93.06,339,227,21124.62,46.22,10491.94,50.33,368,9,2023-09-17,2023-09-18,2023-09-27,9,0.0201,Pass,4,683,339,343.18
Healthcare,SKU0018,Supplier E,Hyderabad,Female,D2C,Rail,Route C,50.0,204,71,3550.0,22.85,1622.35,54.3,415,21,2023-02-15,2023-02-18,2023-03-11,21,0.0072,Pass,8,1667,204,488.61
Skincare,SKU0009,Supplier B,Bangalore,Female,B2B,Air,Route A,100.26,216,32,3208.32,31.67,1013.44,68.41,263,28,2024-04-13,2024-04-14,2024-05-12,28,0.078,Pass,11,2548,216,387.12
Haircare,SKU0070,Supplier C,Pune,Female,B2C,Sea,Route A,19.9,45,31,616.9,10.89,337.59,45.28,197,15,2024-04-29,2024-05-02,2024-05-17,15,0.0499,Pass,10,4437,45,205.71
Haircare,SKU0048,Supplier C,Mumbai,Unknown,B2C,Air,Route B,52.34,1,0,0.0,17.43,0.0,0.0,126,1,2024-03-23,2024-03-27,2024-03-28,1,0.0883,Fail,9,2341,1,85.36
Skincare,SKU0011,Supplier C,Chennai,Female,D2C,Sea,Route B,146.73,89,45,6602.85,55.77,2509.65,61.99,424,26,2024-03-10,2024-03-11,2024-04-06,26,0.0801,Fail,10,416,89,351.67
Healthcare,SKU0085,Supplier A,Hyderabad,Unknown,B2B,Rail,Route B,107.44,389,8,859.52,58.57,468.56,45.49,90,6,2023-10-30,2023-11-02,2023-11-08,6,0.0617,Fail,10,4011,389,369.08
Skincare,SKU0079,Supplier A,Hyderabad,Male,D2C,Rail,Route B,108.54,317,83,9008.82,36.04,2991.32,66.8,133,15,2024-03-21,2024-03-24,2024-04-08,15,0.0815,Pass,8,3485,317,298.85
Cosmetics,SKU0019,Supplier B,Kolkata,Male,B2B,Sea,Route B,118.66,382,2,237.32,56.42,112.84,52.45,61,9,2024-03-24,2024-03-25,2024-04-03,9,0.0164,Pass,15,1660,382,161.2
Skincare,SKU0078,Supplier E,Kolkata,Non-binary,B2C,Road,Route C,131.41,121,18,2365.38,78.55,1413.9,40.23,270,23,2023-06-07,2023-06-11,2023-07-04,23,0.047,Pass,14,3765,121,405.36
Beauty,SKU0051,Supplier E,Hyderabad,Male,B2B,Air,Route B,8.02,210,149,1194.98,5.53,823.97,31.05,180,5,2023-11-18,2023-11-21,2023-11-26,5,0.0996,Pass,5,4640,210,86.69
Cosmetics,SKU0034,Supplier D,Mumbai,Non-binary,D2C,Rail,Route A,15.47,446,206,3186.82,5.72,1178.32,63.03,262,1,2023-09-24,2023-09-28,2023-09-29,1,0.084,Pass,7,4711,446,377.23
Healthcare,SKU0058,Supplier B,Mumbai,Non-binary,D2C,Sea,Route C,111.63,381,19,2120.97,72.2,1371.8,35.32,145,28,2023-06-26,2023-06-30,2023-07-28,28,0.004,Pass,4,3911,381,314.63
Healthcare,SKU0039,Supplier E,Chennai,Female,B2B,Air,Route A,131.65,417,261,34360.65,70.69,18450.09,46.3,295,7,2023-06-11,2023-06-13,2023-06-20,7,0.0277,Pass,5,629,417,211.62
Beauty,SKU0047,Supplier D,Kolkata,Male,B2B,Sea,Route B,96.58,398,224,21633.92,44.63,9997.12,53.79,136,3,2024-01-13,2024-01-17,2024-01-20,3,0.0776,Pass,16,101,398,334.64
Skincare,SKU0099,Supplier E,Pune,Female,B2C,Road,Route B,31.24,324,40,1249.6,14.94,597.6,52.18,280,22,2024-02-24,2024-02-29,2024-03-22,22,0.0871,Pass,4,3914,324,211.66
Skincare,SKU0017,Supplier E,Hyderabad,Male,B2B,Air,Route B,28.71,378,27,775.17,8.72,235.44,69.63,498,2,2023-07-06,2023-07-08,2023-07-10,2,0.0858,Fail,6,4496,378,398.06
Beauty,SKU0091,Supplier B,Hyderabad,Male,B2C,Air,Route C,39.37,286,9,354.33,17.02,153.18,56.77,142,3,2023-08-19,2023-08-22,2023-08-25,3,0.0442,Pass,11,1380,286,201.65
Cosmetics,SKU0081,Supplier C,Bangalore,Female,D2C,Air,Route A,70.17,263,170,11928.9,25.74,4375.8,63.32,333,12,2023-11-07,2023-11-12,2023-11-24,12,0.0707,Pass,7,2834,263,66.5
Cosmetics,SKU0073,Supplier E,Hyderabad,Male,D2C,Sea,Route C,101.25,164,48,4860.0,48.45,2325.6,52.15,416,17,2023-02-12,2023-02-13,2023-03-02,17,0.0705,Pass,14,1374,164,440.72
Beauty,SKU0080,Supplier E,Pune,Non-binary,B2C,Air,Route C,21.23,369,129,2738.67,14.32,1847.28,32.55,334,9,2023-02-01,2023-02-05,2023-02-14,9,0.0531,Pass,5,4393,369,338.0
Skincare,SKU0010,Supplier C,Ahmedabad,Unknown,B2C,Rail,Route A,31.1,58,4,124.4,9.85,39.4,68.33,325,1,2023-03-03,2023-03-05,2023-03-06,1,0.0507,Fail,13,225,58,493.98
Haircare,SKU0041,Supplier E,Bangalore,Female,B2C,Road,Route B,143.01,305,284,40614.84,57.45,16315.8,59.83,476,25,2023-11-23,2023-11-26,2023-12-21,25,0.058,Fail,14,4023,305,269.98
Beauty,SKU0035,Supplier D,Mumbai,Male,B2B,Sea,Route B,23.23,125,44,1022.12,8.84,388.96,61.95,424,20,2024-04-05,2024-04-07,2024-04-27,20,0.0705,Pass,3,1114,125,123.07
Cosmetics,SKU0021,Supplier D,Delhi,Female,B2B,Rail,Route C,102.53,351,4,410.12,59.16,236.64,42.3,360,15,2023-12-02,2023-12-07,2023-12-22,15,0.0177,Pass,13,3585,351,490.38
Skincare,SKU0064,Supplier D,Chennai,Unknown,B2B,Air,Route C,77.09,144,25,1927.25,46.83,1170.75,39.25,377,8,2023-01-24,2023-01-25,2023-02-02,8,0.0865,Fail,6,3172,144,407.98
Haircare,SKU0037,Supplier A,Kolkata,Non-binary,D2C,Road,Route A,36.27,463,141,5114.07,19.25,2714.25,46.93,495,21,2024-05-21,2024-05-26,2024-06-16,21,0.0667,Fail,8,674,463,346.03
Skincare,SKU0094,Supplier B,Chennai,Male,B2C,Road,Route C,146.69,168,88,12908.72,49.32,4340.16,66.38,208,16,2024-01-10,2024-01-14,2024-01-30,16,0.0752,Pass,6,3781,168,382.3
Cosmetics,SKU0071,Supplier B,Hyderabad,Unknown,D2C,Sea,Route C,63.6,493,131,8331.6,42.01,5503.31,33.95,446,6,2023-10-23,2023-10-24,2023-10-30,6,0.0438,Fail,15,3812,493,409.02
Cosmetics,SKU0013,Supplier A,Bangalore,Non-binary,B2B,Air,Route C,22.43,309,88,1973.84,10.02,881.76,55.33,248,21,2024-02-08,2024-02-11,2024-03-03,21,0.0325,Pass,3,4500,309,303.55
Cosmetics,SKU0006,Supplier D,Kolkata,Unknown,D2C,Rail,Route A,84.12,290,101,8496.12,30.9,3120.9,63.27,379,26,2023-02-09,2023-02-11,2023-03-09,26,0.0587,Pass,11,1126,290,391.7
Cosmetics,SKU0042,Supplier E,Bangalore,Non-binary,D2C,Sea,Route C,83.64,327,116,9702.24,37.81,4385.96,54.79,353,29,2023-11-23,2023-11-25,2023-12-24,29,0.0341,Fail,14,2930,327,311.08
Cosmetics,SKU0091,Supplier E,Ahmedabad,Non-binary,B2C,Road,Route B,62.18,342,20,1243.6,40.96,819.2,34.13,166,23,2023-11-03,2023-11-07,2023-11-30,23,0.0431,Pass,6,814,342,454.11
Cosmetics,SKU0077,Supplier C,Kolkata,Male,D2C,Rail,Route A,60.11,323,276,16590.36,20.47,5649.72,65.95,430,13,2024-04-30,2024-05-03,2024-05-16,13,0.0352,Pass,16,3710,323,327.81
Cosmetics,SKU0019,Supplier E,Pune,Female,B2B,Rail,Route B,139.79,155,34,4752.86,76.06,2586.04,45.59,195,8,2023-09-06,2023-09-07,2023-09-15,8,0.0311,Pass,15,2237,155,229.96
Skincare,SKU0089,Supplier B,Pune,Male,D2C,Air,Route C,22.67,458,262,5939.54,11.56,3028.72,49.01,120,12,2023-07-28,2023-08-01,2023-08-13,12,0.0181,Fail,19,544,458,182.88
Beauty,SKU0085,Supplier E,Hyderabad,Non-binary,B2B,Rail,Route C,42.2,35,19,801.8,26.43,502.17,37.37,221,4,2024-05-04,2024-05-09,2024-05-13,4,0.0087,Fail,12,3038,35,69.54
Haircare,SKU0087,Supplier E,Hyderabad,Female,B2B,Sea,Route C,5.37,405,117,628.29,2.1,245.7,60.89,58,21,2023-09-28,2023-10-03,2023-10-24,21,0.0884,Fail,12,2731,405,340.97
Haircare,SKU0099,Supplier B,Chennai,Non-binary,B2C,Sea,Route C,116.64,48,25,2916.0,47.81,1195.25,59.01,68,27,2023-10-23,2023-10-25,2023-11-21,27,0.0781,Fail,9,3373,48,433.03
Haircare,SKU0074,Supplier C,Mumbai,Female,B2C,Road,Route B,122.38,402,163,19947.94,65.43,10665.09,46.54,224,10,2024-01-24,2024-01-28,2024-02-07,10,0.0452,Pass,14,1349,402,155.86
Healthcare,SKU0084,Supplier C,Ahmedabad,Female,D2C,Sea,Route C,73.57,148,36,2648.52,28.14,1013.04,61.75,60,15,2023-09-20,2023-09-24,2023-10-09,15,0.023,Pass,16,1200,148,154.38
Haircare,SKU0079,Supplier B,Mumbai,Female,D2C,Air,Route A,91.2,253,152,13862.4,49.14,7469.28,46.12,195,2,2023-09-03,2023-09-05,2023-09-07,2,0.0275,Pass,9,4108,253,231.94
Healthcare,SKU0092,Supplier D,Hyderabad,Male,D2C,Air,Route B,105.4,486,279,29406.6,57.05,15916.95,45.87,151,28,2024-04-28,2024-04-29,2024-05-27,28,0.0819,Pass,9,4231,486,310.27
Skincare,SKU0097,Supplier D,Delhi,Male,B2B,Air,Route C,17.42,352,163,2839.46,7.78,1268.14,55.34,119,3,2023-10-22,2023-10-25,2023-10-28,3,0.0401,Pass,6,1904,352,209.75
Healthcare,SKU0023,Supplier B,Pune,Female,D2C,Sea,Route A,80.26,129,4,321.04,41.41,165.64,48.41,279,12,2023-02-07,2023-02-11,2023-02-23,12,0.0234,Fail,5,3161,129,316.77
Healthcare,SKU0043,Supplier C,Mumbai,Female,D2C,Rail,Route B,38.47,57,2,76.94,26.84,53.68,30.23,307,22,2023-10-19,2023-10-23,2023-11-14,22,0.0669,Fail,5,2501,57,213.32
Beauty,SKU0021,Supplier A,Hyderabad,Male,D2C,Sea,Route B,69.72,115,7,488.04,47.62,333.34,31.7,382,22,2024-04-14,2024-04-17,2024-05-09,22,0.0562,Pass,17,1116,115,335.73
Cosmetics,SKU0079,Supplier B,Bangalore,Male,B2C,Road,Route A,29.72,105,61,1812.92,8.93,544.73,69.95,449,25,2024-02-20,2024-02-24,2024-03-20,25,0.0822,Pass,5,1779,105,349.21
Beauty,SKU0032,Supplier D,Hyderabad,Female,B2C,Sea,Route B,60.47,278,114,6893.58,35.97,4100.58,40.52,297,8,2023-01-07,2023-01-10,2023-01-18,8,0.002,Fail,8,4651,278,292.98
Haircare,SKU0034,Supplier E,Kolkata,Male,B2C,Sea,Route A,114.51,160,15,1717.65,66.82,1002.3,41.65,191,12,2024-01-04,2024-01-06,2024-01-18,12,0.0782,Pass,15,1701,160,102.94
Skincare,SKU0089,Supplier E,Chennai,Female,B2B,Air,Route B,60.23,257,248,14937.04,37.95,9411.6,36.99,239,9,2023-05-01,2023-05-04,2023-05-13,9,0.051,Pass,6,4506,257,251.24
Beauty,SKU0054,Supplier D,Hyderabad,Female,D2C,Road,Route C,28.46,405,142,4041.32,12.99,1844.58,54.36,61,22,2024-04-27,2024-05-02,2024-05-24,22,0.0567,Pass,12,2825,405,468.77
Skincare,SKU0010,Supplier E,Hyderabad,Female,B2B,Sea,Route C,123.53,290,157,19394.21,72.71,11415.47,41.14,116,24,2023-04-25,2023-04-26,2023-05-20,24,0.0532,Pass,16,172,290,405.51
Skincare,SKU0092,Supplier A,Delhi,Male,B2C,Air,Route C,51.77,162,65,3365.05,22.7,1475.5,56.15,325,27,2024-05-15,2024-05-16,2024-06-12,27,0.0695,Fail,12,2085,162,307.87
Skincare,SKU0072,Supplier D,Kolkata,Unknown,B2C,Road,Route C,24.22,309,288,6975.36,8.61,2479.68,64.45,385,4,2024-04-18,2024-04-21,2024-04-25,4,0.0606,Pass,5,2630,309,394.16
Beauty,SKU0006,Supplier E,Mumbai,Male,B2B,Rail,Route A,62.81,24,12,753.72,30.86,370.32,50.87,74,21,2024-03-09,2024-03-12,2024-04-02,21,0.0122,Pass,15,4323,24,154.65
Haircare,SKU0099,Supplier D,Bangalore,Unknown,B2C,Rail,Route B,67.71,140,30,2031.3,27.84,835.2,58.88,496,14,2023-05-19,2023-05-23,2023-06-06,14,0.0876,Pass,13,4449,140,338.37
Healthcare,SKU0084,Supplier E,Bangalore,Unknown,D2C,Air,Route C,92.37,150,30,2771.1,34.8,1044.0,62.33,394,19,2023-12-23,2023-12-24,2024-01-12,19,0.0564,Pass,13,789,150,76.17
Beauty,SKU0039,Supplier A,Kolkata,Unknown,B2B,Air,Route B,13.38,55,14,187.32,4.93,69.02,63.15,198,9,2024-04-19,2024-04-24,2024-05-03,9,0.043,Fail,16,982,55,104.62
Haircare,SKU0025,Supplier B,Chennai,Male,B2B,Air,Route A,30.78,399,251,7725.78,21.51,5399.01,30.12,322,1,2023-04-26,2023-04-27,2023-04-28,1,0.0509,Fail,6,4319,399,154.69
Healthcare,SKU0058,Supplier E,Kolkata,Unknown,B2C,Air,Route C,127.96,177,62,7933.52,61.41,3807.42,52.01,56,5,2023-02-19,2023-02-21,2023-02-26,5,0.0887,Pass,16,1864,177,286.48
Beauty,SKU0065,Supplier A,Bangalore,Non-binary,B2B,Sea,Route A,61.13,132,129,7885.77,37.66,4858.14,38.39,198,27,2023-10-24,2023-10-26,2023-11-22,27,0.0419,Pass,9,1000,132,392.13
Cosmetics,SKU0039,Supplier B,Pune,Unknown,D2C,Rail,Route A,36.2,212,212,7674.4,24.75,5247.0,31.63,213,21,2023-10-09,2023-10-10,2023-10-31,21,0.0802,Pass,19,4895,212,217.13
Haircare,SKU0090,Supplier D,Hyderabad,Non-binary,B2C,Air,Route C,98.68,404,255,25163.4,34.62,8828.1,64.92,83,23,2024-03-02,2024-03-06,2024-03-29,23,0.0149,Pass,10,3904,404,196.1
Skincare,SKU0039,Supplier B,Delhi,Unknown,B2C,Air,Route B,62.2,421,41,2550.2,21.97,900.77,64.68,241,21,2023-05-28,2023-06-01,2023-06-22,21,0.0956,Pass,11,524,421,404.11
Beauty,SKU0043,Supplier C,Delhi,Male,D2C,Air,Route A,104.78,59,47,4924.66,70.43,3310.21,32.78,493,29,2023-03-22,2023-03-26,2023-04-24,29,0.0279,Pass,13,4954,59,401.53
Haircare,SKU0010,Supplier D,Kolkata,Unknown,B2B,Sea,Route B,100.61,442,213,21429.93,65.98,14053.74,34.42,392,8,2023-07-12,2023-07-17,2023-07-25,8,0.0227,Pass,7,2248,442,283.28
Healthcare,SKU0095,Supplier B,Delhi,Female,B2C,Air,Route C,11.94,199,86,1026.84,7.41,637.26,37.94,201,11,2023-05-01,2023-05-05,2023-05-16,11,0.0659,Pass,10,3997,199,66.01
Haircare,SKU0060,Supplier C,Pune,Non-binary,B2C,Rail,Route B,71.98,227,138,9933.24,40.64,5608.32,43.54,77,20,2024-06-30,2024-07-03,2024-07-23,20,0.0775,Pass,7,872,227,209.68
Healthcare,SKU0027,Supplier D,Hyderabad,Male,D2C,Air,Route C,100.74,351,7,705.18,33.53,234.71,66.72,269,10,2024-01-15,2024-01-18,2024-01-28,10,0.0021,Fail,10,3939,351,454.51
Beauty,SKU0071,Supplier A,Chennai,Female,B2C,Air,Route B,38.04,328,48,1825.92,23.2,1113.6,39.01,218,4,2024-03-03,2024-03-06,2024-03-10,4,0.0615,Pass,12,2296,328,481.92
Cosmetics,SKU0071,Supplier B,Ahmedabad,Unknown,B2C,Air,Route C,23.16,346,257,5952.12,15.47,3975.79,33.2,449,22,2023-12-12,2023-12-15,2024-01-06,22,0.0486,Fail,4,622,346,415.3
Haircare,SKU0093,Supplier B,Bangalore,Male,B2B,Road,Route A,11.34,272,182,2063.88,5.36,975.52,52.73,173,9,2024-05-15,2024-05-17,2024-05-26,9,0.0372,Pass,14,3459,272,224.89
Skincare,SKU0009,Supplier B,Delhi,Unknown,B2C,Road,Route C,76.93,112,20,1538.6,32.83,656.6,57.32,88,3,2023-06-04,2023-06-05,2023-06-08,3,0.0671,Pass,11,3090,112,430.93
Cosmetics,SKU0003,Supplier D,Ahmedabad,Male,B2B,Sea,Route C,41.57,396,148,6152.36,21.75,3219.0,47.68,200,8,2023-01-07,2023-01-12,2023-01-20,8,0.0748,Fail,13,4451,396,345.27
Haircare,SKU0023,Supplier A,Pune,Female,B2B,Sea,Route B,84.03,234,88,7394.64,49.68,4371.84,40.88,307,22,2023-04-20,2023-04-21,2023-05-13,22,0.054,Pass,17,382,234,109.28
Haircare,SKU0048,Supplier D,Mumbai,Female,B2C,Road,Route C,144.94,462,87,12609.78,74.92,6518.04,48.31,238,12,2024-02-20,2024-02-24,2024-03-07,12,0.0733,Pass,5,802,462,384.54
Healthcare,SKU0049,Supplier A,Pune,Male,D2C,Road,Route C,20.36,22,6,122.16,12.31,73.86,39.54,160,12,2024-01-22,2024-01-27,2024-02-08,12,0.0636,Fail,18,1384,22,122.38
Beauty,SKU0056,Supplier A,Ahmedabad,Male,B2B,Air,Route C,132.81,387,103,13679.43,82.35,8482.05,37.99,59,3,2023-12-06,2023-12-11,2023-12-14,3,0.0401,Pass,16,1022,387,384.06
Cosmetics,SKU0006,Supplier D,Chennai,Female,B2C,Road,Route A,104.74,111,12,1256.88,31.64,379.68,69.79,139,9,2023-03-18,2023-03-21,2023-03-30,9,0.0554,Pass,14,2356,111,427.98
Cosmetics,SKU0010,Supplier B,Pune,Unknown,D2C,Sea,Route B,6.6,120,33,217.8,2.84,93.72,56.97,292,21,2023-11-03,2023-11-05,2023-11-26,21,0.0368,Pass,8,3995,120,428.89
Beauty,SKU0007,Supplier A,Hyderabad,Male,B2C,Rail,Route B,77.8,185,131,10191.8,45.81,6001.11,41.12,73,15,2023-04-11,2023-04-15,2023-04-30,15,0.0449,Pass,7,2123,185,147.74
Healthcare,SKU0063,Supplier C,Ahmedabad,Unknown,B2B,Rail,Route A,30.86,201,37,1141.82,19.06,705.22,38.24,69,14,2023-08-22,2023-08-25,2023-09-08,14,0.0355,Fail,9,2663,201,231.05
Cosmetics,SKU0092,Supplier C,Delhi,Female,B2C,Air,Route C,78.97,2,0,0.0,45.9,0.0,0.0,425,16,2023-03-17,2023-03-18,2023-04-03,16,0.0225,Pass,4,693,2,321.57
Skincare,SKU0014,Supplier C,Hyderabad,Unknown,B2C,Sea,Route A,92.31,187,59,5446.29,30.54,1801.86,66.92,455,19,2023-04-04,2023-04-05,2023-04-24,19,0.0498,Pass,14,641,187,362.94
Beauty,SKU0056,Supplier A,Bangalore,Male,B2B,Road,Route B,147.39,116,30,4421.7,70.17,2105.1,52.39,277,4,2024-04-04,2024-04-09,2024-04-13,4,0.0517,Fail,19,1306,116,105.07
Cosmetics,SKU0050,Supplier A,Hyderabad,Unknown,B2B,Air,Route C,39.2,318,115,4508.0,23.3,2679.5,40.56,362,17,2023-01-13,2023-01-16,2023-02-02,17,0.0598,Fail,15,4356,318,469.9
Cosmetics,SKU0022,Supplier B,Pune,Non-binary,B2C,Air,Route A,66.08,259,147,9713.76,37.95,5578.65,42.57,96,16,2023-05-23,2023-05-26,2023-06-11,16,0.0178,Pass,13,4797,259,427.91
Beauty,SKU0054,Supplier D,Chennai,Non-binary,B2C,Air,Route C,90.23,499,60,5413.8,28.01,1680.6,68.96,162,10,2023-11-03,2023-11-07,2023-11-17,10,0.0335,Pass,15,2857,499,313.61
Skincare,SKU0059,Supplier E,Delhi,Male,B2C,Sea,Route C,80.12,364,50,4006.0,51.36,2568.0,35.9,459,21,2023-04-20,2023-04-22,2023-05-13,21,0.0056,Pass,7,2103,364,442.73
Skincare,SKU0043,Supplier C,Ahmedabad,Non-binary,B2C,Air,Route B,121.38,73,63,7646.94,67.06,4224.78,44.75,175,5,2024-03-16,2024-03-21,2024-03-26,5,0.0706,Pass,5,4836,73,377.57
Haircare,SKU0041,Supplier B,Pune,Non-binary,B2C,Sea,Route B,118.13,99,69,8150.97,64.27,4434.63,45.59,237,9,2023-10-26,2023-10-30,2023-11-08,9,0.0159,Pass,6,1531,99,229.48
Haircare,SKU0076,Supplier A,Delhi,Unknown,D2C,Air,Route B,13.27,413,219,2906.13,8.79,1925.01,33.76,169,7,2023-07-04,2023-07-09,2023-07-16,7,0.0247,Pass,18,3353,413,488.68
Haircare,SKU0087,Supplier A,Pune,Female,B2C,Air,Route C,67.19,216,204,13706.76,33.26,6785.04,50.5,233,6,2024-05-26,2024-05-28,2024-06-03,6,0.0065,Pass,13,789,216,70.93
